api_id,name,difficulty
339,Eddard Stark,easy
232,Catelyn Stark,medium
1880,Robb Stark,easy
957,Sansa Stark,easy
148,Arya Stark,easy
208,Brandon Stark,easy
583,Jon Snow,easy
181,Benjen Stark,medium
2,Hodor,medium
27,Tywin Lannister,medium
238,Cersei Lannister,easy
529,Jaime Lannister,easy
1052,Tyrion Lannister,easy
613,Lancel Lannister,hard
1848,Qyburn,medium
901,Robert I Baratheon,easy
1963,Stannis Baratheon,easy
862,Renly Baratheon,medium
565,Joffrey Baratheon,easy
1029,Tommen Baratheon,medium
975,Shireen Baratheon,medium
743,Melisandre,easy
1319,Davos Seaworth,medium
1303,Daenerys Targaryen,easy
1079,Viserys Targaryen,medium
62,Aerys II,medium
1560,Jorah Mormont,medium
1445,Grey Worm,medium
1709,Missandei,medium
1298,Daario Naharis,hard
1346,Drogo,medium
12,Balon Greyjoy,medium
1022,Theon Greyjoy,easy
150,Asha Greyjoy,medium
60,Aeron Greyjoy,hard
691,Mace Tyrell,hard
16,Margaery Tyrell,easy
640,Loras Tyrell,medium
784,Olenna Redwyne,easy
326,Doran Martell,medium
1770,Oberyn Nymeros Martell,easy
364,Ellaria Sand,medium
346,Edmure Tully,hard
223,Brynden Tully,hard
688,Lysa Arryn,medium
572,Jon Arryn,hard
823,Petyr Baelish,easy
933,Roose Bolton,medium
849,Ramsay Snow,medium
547,Jeor Mormont,hard
667,Lyanna Mormont,medium
2069,Varys,easy
217,Bronn,medium
2024,Tormund,medium
2126,Ygritte,medium
1666,Mance Rayder,medium
216,Brienne of Tarth,easy
955,Sandor Clegane,easy
1442,Gregor Clegane,medium
954,Samwell Tarly,easy
827,Podrick Payne,medium
1418,Gendry,medium
190,Beric Dondarrion,hard
168,Barristan Selmy,medium
